"id","nj","d","d_nj","bk","kfc","roys","wendys","co_owned","centralj","southj","pa1","pa2","fte","ft","pt","mgrs","wage","meal","hrsopen","bonus","ncalls","status","type","inctime","firstinc","nregs"
1,0,0,0,1,0,0,0,0,0,0,1,0,40.5,30,15,3,NA,2.58,16.5,1,0,1,1,19,NA,3
2,0,0,0,0,1,0,0,0,0,0,1,0,13.75,6.5,6.5,4,NA,4.26,13,0,0,1,1,26,NA,4
3,0,0,0,0,1,0,0,1,0,0,1,0,8.5,3,7,2,NA,4.02,10,0,0,1,1,13,0.37,3
4,0,0,0,0,0,0,1,1,0,0,1,0,34,20,20,4,5,3.48,12,1,0,1,1,26,0.1,2
5,0,0,0,0,0,0,1,1,0,0,1,0,24,6,26,5,5.5,3.29,12,1,0,1,1,52,0.15,2
6,0,0,0,0,0,0,1,1,0,0,1,0,20.5,0,31,5,5,2.59,12,0,2,1,1,26,0.07,2
7,0,0,0,1,0,0,0,0,0,0,0,1,70.5,50,35,3,5,2.86,18,0,0,1,1,26,0.1,3
8,0,0,0,1,0,0,0,0,0,0,0,1,23.5,10,17,5,5,2.85,24,0,0,1,1,52,0.25,6
9,0,0,0,0,1,0,0,1,0,0,0,1,11,2,8,5,5.25,3.78,10,0,0,1,1,13,0.25,2
10,0,0,0,0,1,0,0,1,0,0,1,0,9,2,10,2,5,3.99,10,0,2,1,1,19,0.15,4
11,0,0,0,0,0,1,0,1,0,0,0,1,15.5,2.5,20,3,5,3.17,12.5,1,0,1,2,13,0.37,4
12,0,0,0,1,0,0,0,0,0,0,0,1,58,40,30,3,5,2.84,18,0,0,1,1,13,0.17,4
13,0,0,0,1,0,0,0,0,0,0,0,1,26.5,8,27,5,5,2.6,18,0,0,1,1,39,0.25,3
14,0,0,0,1,0,0,0,0,0,0,0,1,28.5,10.5,30,3,5.5,2.75,18,0,0,1,1,NA,0.3,3
15,0,0,0,1,0,0,0,0,0,0,0,1,13.5,6,9,3,5,3.12,12.5,0,2,1,2,26,0.37,3
16,0,0,0,0,1,0,0,1,0,0,0,1,16.75,5,17.5,3,5.25,4.22,10,1,2,1,1,26,0.25,5
17,0,0,0,0,1,0,0,1,0,0,0,1,9.5,1,15,1,5,3.99,10,1,0,1,1,13,0.07,4
18,0,0,0,0,0,1,0,1,0,0,0,1,15,10,6,2,5,2.97,11.5,1,0,1,1,13,0.17,6
19,0,0,0,0,0,1,0,0,0,0,0,1,29.5,20,13,3,5,2.85,16,1,1,1,1,13,0.25,5
20,0,0,0,0,0,1,0,0,0,0,0,1,18.5,5,23,2,5,3,14,1,2,1,1,13,0.37,4
21,0,0,0,0,0,1,0,1,0,0,0,1,20.25,10,12.5,4,5,3.11,16,0,0,1,1,13,0.12,4
22,0,0,0,0,0,1,0,1,0,0,1,0,36,27,12,3,5,3.96,16,0,0,1,1,26,0.25,6
23,0,0,0,0,0,1,0,0,0,0,0,1,21,4,28,3,5,3,15,0,2,1,1,26,0.25,3
24,0,0,0,0,0,1,0,1,0,0,0,1,20.5,10,15,3,5,2.68,16,1,0,1,1,13,0.17,5
25,0,0,0,0,0,0,1,1,0,0,0,1,19,0,28,5,5,3.34,12,1,0,1,1,26,0.07,2
26,0,0,0,0,0,1,0,1,0,0,0,1,14,3,16,3,5,3.16,16,0,2,1,1,13,0.25,6
27,0,0,0,0,0,1,0,1,0,0,0,1,19,7,16,4,5,3.15,16,0,0,1,1,13,0.2,5
28,0,0,0,1,0,0,0,0,0,0,1,0,32.5,21,9,7,4.25,2.66,16.5,0,2,1,1,4,0.25,5
29,0,0,0,1,0,0,0,0,0,0,1,0,19,1,32,2,4.25,2.28,17.5,0,0,1,1,8,NA,4
30,0,0,0,1,0,0,0,0,0,0,1,0,27,10,20,7,4.25,2.6,16.5,0,0,1,1,4,0.15,3
31,0,0,0,1,0,0,0,0,0,0,1,0,19.5,0,27,6,4.25,2.65,16.5,0,0,1,1,18,0.2,3
32,0,0,0,1,0,0,0,0,0,0,1,0,24,17,4,5,4.5,2.67,16.5,0,2,1,1,NA,NA,3
33,0,0,0,1,0,0,0,0,0,0,1,0,18,0,24,6,4.25,2.67,16,0,0,1,1,2,0.25,3
34,0,0,0,1,0,0,0,0,0,0,1,0,NA,25,15,NA,4.5,2.77,17,0,2,1,1,4,0.17,3
35,0,0,0,1,0,0,0,0,0,0,1,0,19,6,20,3,4.25,2.48,14,1,0,1,1,13,0.2,4
36,0,0,0,0,1,0,0,0,0,0,1,0,14,6,10,3,4.5,5.4,12,0,0,1,1,13,NA,4
37,0,0,0,0,1,0,0,0,0,0,1,0,10.5,0,15,3,4.25,4.25,13,0,1,1,1,NA,0.15,4
