"county","state","voteshare","year","dem1912_3party","note","incparty","incumbency","attacks","electionyearattacks","coastal"
"AUTAUGA","AL",0.296000003814697,1872,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.337999999523163,1876,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.501008093357086,1880,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.5095095038414,1884,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.632000029087067,1888,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.958917856216431,1892,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.809944748878479,1896,NA,".",1,0,0,0,0
"AUTAUGA","AL",0.645726025104523,1900,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.909827768802643,1904,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.870999991893768,1908,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.934948980808258,1912,0.784796595573425,".",-1,-1,0,0,0
"AUTAUGA","AL",0.88685017824173,1916,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.814141392707825,1920,NA,".",1,0,0,0,0
"AUTAUGA","AL",0.842592597007751,1924,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.564000010490417,1928,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.905146300792694,1932,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.947738707065582,1936,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.942598164081573,1940,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.913741230964661,1944,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.913294792175293,1948,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.656662285327911,1952,NA,".",1,0,0,0,0
"AUTAUGA","AL",0.575299978256226,1956,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.551500022411346,1960,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0,1964,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.719299972057343,1968,NA,".",1,0,0,0,0
"AUTAUGA","AL",0.228900000452995,1972,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.507000029087067,1976,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.405699998140335,1980,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.287299990653992,1984,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.319000005722046,1988,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.356099992990494,1992,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.345299988985062,1996,NA,".",1,1,0,0,0
"AUTAUGA","AL",0.291799992322922,2000,NA,".",1,0,0,0,0
"AUTAUGA","AL",0.238399997353554,2004,NA,".",-1,-1,0,0,0
"AUTAUGA","AL",0.259299993515015,2008,NA,".",-1,0,0,0,0
"AUTAUGA","AL",0.267999589443207,2012,NA,".",1,1,0,0,0
"BALDWIN","AL",0.437000006437302,1872,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.544000029563904,1876,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.53658539056778,1880,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.525150895118713,1884,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.569999992847443,1888,NA,".",1,1,0,0,1
"BALDWIN","AL",0.723446905612946,1892,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.63539445400238,1896,NA,".",1,0,0,0,1
"BALDWIN","AL",0.52850878238678,1900,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.782839000225067,1904,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.800699293613434,1908,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.943899035453796,1912,0.778034687042236,".",-1,-1,0,0,1
"BALDWIN","AL",0.780487775802612,1916,NA,".",1,1,0,0,1
"BALDWIN","AL",0.688720166683197,1920,NA,".",1,0,0,0,1
"BALDWIN","AL",0.650314450263977,1924,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.486921548843384,1928,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.794736862182617,1932,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.843683063983917,1936,NA,".",1,1,0,0,1
"BALDWIN","AL",0.814225018024445,1940,NA,".",1,1,0,0,1
"BALDWIN","AL",0.742163777351379,1944,NA,".",1,1,0,0,1
"BALDWIN","AL",0.771171152591705,1948,NA,".",1,1,0,0,1
"BALDWIN","AL",0.515774607658386,1952,NA,".",1,0,0,0,1
"BALDWIN","AL",0.474599987268448,1956,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.543500006198883,1960,NA,".",-1,0,0,0,1
"BALDWIN","AL",0,1964,NA,".",1,1,0,0,1
"BALDWIN","AL",0.458099991083145,1968,NA,".",1,0,0,0,1
"BALDWIN","AL",0.162100002169609,1972,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.409500002861023,1976,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.311699986457825,1980,NA,".",1,1,0,0,1
"BALDWIN","AL",0.225600004196167,1984,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.263399988412857,1988,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.31700000166893,1992,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.302300006151199,1996,NA,".",1,1,0,0,1
"BALDWIN","AL",0.255100011825562,2000,NA,".",1,0,0,0,1
"BALDWIN","AL",0.227500006556511,2004,NA,".",-1,-1,0,0,1
"BALDWIN","AL",0.24040000140667,2008,NA,".",-1,0,0,0,1
"BALDWIN","AL",0.218183651566505,2012,NA,".",1,1,0,0,1
"BARBOUR","AL",0.457000017166138,1872,NA,".",-1,-1,0,0,0
"BARBOUR","AL",0.957000017166138,1876,NA,".",-1,0,0,0,0
"BARBOUR","AL",0.696696698665619,1880,NA,".",-1,0,0,0,0
"BARBOUR","AL",0.751751780509949,1884,NA,".",-1,0,0,0,0
"BARBOUR","AL",0.885999977588654,1888,NA,".",1,1,0,0,0
"BARBOUR","AL",0.996999979019165,1892,NA,".",-1,-1,0,0,0
