life_expectancy_year_1990_both_sex,life_expectancy_year_1990_female,life_expectancy_year_1990_male,life_expectancy_year_2000_both_sex,life_expectancy_year_2000_female,life_expectancy_year_2000_male,life_expectancy_year_2010_both_sex,life_expectancy_year_2010_female,life_expectancy_year_2010_male,margin_of_error_year_1990_both_sex,margin_of_error_year_1990_female,margin_of_error_year_1990_male,margin_of_error_year_2000_both_sex,margin_of_error_year_2000_female,margin_of_error_year_2000_male,margin_of_error_year_2010_both_sex,margin_of_error_year_2010_female,margin_of_error_year_2010_male,state_city_county
74.94,78.37,71.37,76.79,79.5,73.96,79.19,81.59,76.64,0.09,0.12,0.13,0.08,1.13,0.12,0.08,0.11,0.12,ILLINOIS
70.51,75.1,65.94,74.17,77.68,70.52,77.77,80.81,74.55,0.21,0.29,0.3,0.21,0.26,0.28,0.2,0.26,0.28,CHICAGO
75.61,79.87,71.45,77.62,80.83,74.43,78.86,82.26,75.61,1.13,1.5,1.61,1.07,1.5,1.48,1.03,1.37,1.48,Adams
70.99,75.62,66.29,75.22,78.35,72.05,74.26,77.88,71.3,3.18,4.1,4.74,3.12,4.08,4.54,3.43,4.44,5.08,Alexander
75.46,78.51,72.39,77.68,79.9,75.68,78.5,81.18,75.83,2.63,3.72,3.64,2.19,2.96,3.08,2.15,2.92,3.07,Bond
76.04,78.95,73.11,78.22,80.54,75.85,80.26,82.43,78.04,1.67,2.23,2.39,1.32,1.8,1.87,1.28,1.71,1.83,Boone
76.22,80.26,72.61,81.44,82.45,80.21,79.24,82.82,76.31,3.77,5.72,4.78,2.72,3.79,3.81,2.86,3.97,3.86,Brown
76.54,80.63,72.52,78.51,80.88,75.94,79.47,82.19,76.72,1.58,2.11,2.23,1.46,1.98,2.04,1.58,2.06,2.33,Bureau
75.22,79.17,71.58,76.22,77.73,74.86,80.6,82.43,78.92,4.78,7.27,6.25,4.12,5.52,6.03,3.5,4.65,5.19,Calhoun
76.07,78.82,73.34,76.9,78.81,74.86,78.51,81.68,75.51,2.24,2.93,3.24,2.41,3.62,3.26,2.48,2.98,3.76,Carroll
74.53,79.14,70.11,76.48,79.47,73.48,78.14,79.87,76.34,2.61,3.18,3.81,2.4,3.3,3.35,2.26,3.48,2.87,Cass 
77.32,79.91,74.47,78.25,80.66,75.64,80.55,82.59,78.34,0.77,1.06,1.08,0.77,1.06,1.09,0.71,0.96,1.04,Champaign
76.44,79.45,72.98,76.83,79.23,74.24,77.04,79.08,75.05,1.64,2.23,2.3,1.53,2.11,2.13,1.7,2.43,2.35,Christian
76.55,80.71,72.37,76.75,80.02,73.49,76.83,79.54,73.93,2.4,3.12,3.42,2.09,2.48,3.25,2.27,2.91,3.39,Clark
75.96,80.34,71.62,77.85,81.01,74.5,76.29,78.92,73.62,2.61,3.23,3.83,2.29,3.26,3.08,2.42,3.25,3.5,Clay
77.42,79.77,74.93,77.6,81.81,73.65,79.94,82.85,77.16,1.59,2.25,2.18,1.59,2.05,2.26,1.46,1.82,2.13,Clinton
76.05,79.23,72.56,76.04,77.95,73.92,78.34,80.67,75.9,1.35,1.84,1.9,1.33,1.73,1.96,1.35,1.9,1.87,Coles
73.28,77.08,69.35,75.77,78.76,72.57,79.01,81.71,76.08,0.14,0.19,0.2,0.13,0.18,0.19,0.13,0.18,0.2,Cook
76.52,80.1,72.89,77.09,79.93,74.26,77.5,80.09,74.87,2.04,2.56,3.03,2.05,2.68,2.98,2.07,2.69,3.02,Crawford
77.75,82.81,72.96,77.86,79.92,75.44,78.68,81.46,76.21,3.03,4.01,4.21,2.74,4.12,3.65,2.61,2.89,4.02,Cumberland
77.05,79.7,74.18,78.38,80.26,76.29,79.75,81.22,78.21,1.16,1.59,1.62,1.01,1.4,1.43,0.91,1.21,1.34,DeKalb
76.49,80.06,72.91,76.32,80.85,71.77,78.32,80.0,76.54,2.1,2.53,3.14,2.37,2.5,3.9,2.13,2.87,3.09,Dewitt
76.72,79.68,73.46,77.63,80.35,74.64,80.19,82.75,77.46,2.13,3.12,2.82,2.05,2.65,3.05,1.95,2.67,2.78,Douglas
77.85,80.47,74.93,79.63,81.42,77.55,81.83,83.72,79.7,0.34,0.44,0.48,0.31,0.41,0.44,0.29,0.39,0.43,DuPage
75.04,80.48,69.77,77.14,80.0,74.05,77.66,79.65,75.59,2.1,2.27,3.26,2.14,2.92,3.0,2.13,2.75,3.22,Edgar
77.0,80.72,73.27,76.47,79.36,73.54,76.19,79.22,74.02,3.81,4.94,5.75,3.35,4.43,4.86,4.18,7.15,4.47,Edwards
77.3,80.18,74.24,77.03,80.8,73.32,79.03,80.57,77.39,1.6,2.19,2.25,1.65,2.13,2.39,1.49,2.07,2.1,Effingham
77.17,80.77,73.66,76.52,80.25,73.07,79.27,81.05,77.72,1.94,2.55,2.78,1.99,2.63,2.85,2.0,2.74,2.89,Fayette
75.24,79.76,70.81,76.92,78.89,74.64,77.34,78.87,75.56,2.69,3.28,3.98,2.25,3.13,3.15,2.28,3.16,3.23,Ford
74.43,77.8,70.85,73.81,77.05,70.52,74.56,77.9,71.35,1.5,1.91,2.2,1.55,2.13,2.18,1.6,2.08,2.34,Franklin
76.71,80.32,73.13,77.44,78.99,75.7,76.99,78.58,75.38,1.45,2.0,2.01,1.39,2.05,1.88,1.55,2.22,2.12,Fulton
74.8,80.58,69.86,75.98,81.01,71.21,71.3,73.6,69.2,3.27,4.12,4.7,3.72,4.48,5.7,4.55,6.58,6.19,Gallatin
75.89,78.91,72.73,77.4,80.64,74.23,77.77,80.29,75.26,2.37,3.0,3.55,2.15,2.67,3.16,2.4,3.34,3.47,Greene
76.54,79.92,73.18,77.54,79.62,75.3,78.19,80.96,75.45,1.66,2.28,2.29,1.49,2.14,2.03,1.3,1.74,1.87,Grundy
77.4,79.74,74.71,76.55,79.88,73.14,76.21,79.32,73.35,2.78,3.41,4.41,3.4,5.0,4.53,3.43,4.02,5.1,Hamilton
